smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N=C(N)C1=C[C@@H](O)[C@@H](O)[C@@H](CO)O1	238568487	ZCOOPPWEFZVABM-UYFOZJQFSA-N	188.183	-2.081	0	30	AAAC	
NC(=O)C1(CO)COC1	1857787216	QWQSNXACGBWXTF-UHFFFAOYSA-N	131.131	-1.519	0	30	AAAC	
CO[C@H]1[C@@H](O)[C@H](O)CO[C@H]1O	14593938	UAXFCDNRLADBDZ-DPYQTVNSSA-N	164.157	-1.928	0	30	AAAC	biogenic
C[C@@H](O)CN1CCN(CCN)CC1	34165852	RIJVOTKRVIPNIZ-SECBINFHSA-N	187.287	-1.057	0	30	AAAC	
OC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H]1O	2556400	HMFHBZSHGGEWLO-SKNVOMKLSA-N	150.130	-2.582	0	30	AAAC	in-vitro
NC(=O)[C@H]1NC(=O)CNC1=O	215369150	JGVRNHGDWGAHBQ-GSVOUGTGSA-N	157.129	-2.914	0	30	AAAC	
NC1=NCC(=O)O1	33637076	JZJGGWZIRGGIDK-UHFFFAOYSA-N	100.077	-1.142	0	30	AAAC	
O=C(O)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O	306313031	UDQPBAKZZSWNSE-KKQCNMDGSA-N	178.140	-2.448	0	30	AAAC	biogenic
O=C1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O	9223153	PHOQVHQSTUBQQK-NRXMZTRTSA-N	178.140	-3.013	0	30	AAAC	
CN1C(=O)[C@@H]2CC[C@H](C1=O)N2N	19168709	REDXCMZCCZLQCV-SYDPRGILSA-N	169.184	-1.308	0	30	AAAC	
NCCCC[C@H]1NC(=O)CNC1=O	39115124	OGQVYQIZUYYYKI-ZCFIWIBFSA-N	185.227	-1.270	0	30	AAAC	biogenic
NC[C@]1(CO)CCNC1	39094915	SOCIAWKDLHUOID-ZCFIWIBFSA-N	130.191	-1.083	0	30	AAAC	
CN1C(=O)[C@@H]2NCN[C@@H]2N(C)C1=O	209354459	UBNFVIOYSNCMBL-RFZPGFLSSA-N	184.199	-1.645	0	30	AAAC	
NCCCCNC(=O)C(O)O	39058308	VADXQRWCAWMBCF-UHFFFAOYSA-N	162.189	-1.848	0	30	AAAC	
C[C@]12NCCN1CCN1CCN[C@H]12	34455110	BQVJIIFJTDCVSN-BDAKNGLRSA-N	182.271	-1.147	0	30	AAAC	
C1CNNCCN1	114611618	BCTOTXKVBAMWTM-UHFFFAOYSA-N	101.153	-1.316	0	30	AAAC	
NC(=O)CC[C@H]1NC(=O)CNC1=O	2560883	PWADXPITHGKDSY-SCSAIBSYSA-N	185.183	-2.134	0	30	AAAC	
CN1CC(NC#N)=NCC1=O	39059381	AANBRYDVOCSSIG-UHFFFAOYSA-N	152.157	-1.072	0	30	AAAC	
OC[C@H]1O[C@@H](O)[C@H](O)[C@H]1O	2569311	HMFHBZSHGGEWLO-KKQCNMDGSA-N	150.130	-2.582	0	30	AAAC	in-vitro
O=c1[nH]c(=O)n(Cl)c(=O)[nH]1	31622887	ISAOUZVKYLHALD-UHFFFAOYSA-N	163.520	-1.773	0	30	AAAC	
CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1F	104403228	CRIUOMMBWCCBCQ-NYMZXIIRSA-N	196.174	-1.590	0	30	AAAC	
C[C@H]1C(=O)NC(=O)N[C@H]1O	6031692	IXLRNGYVHSNFAY-GBXIJSLDSA-N	144.130	-1.220	0	30	AAAC	
CN1CN2C[C@H](O)C[C@@H]2C1=O	39115606	HDXMIEKMICWNKI-PHDIDXHHSA-N	156.185	-1.149	0	30	AAAC	
